2017-06-20 19:25:26,194 [Worker-24] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Mascotas:Mascotas:0.0.1-SNAPSHOT @ D:\UTN\Electivas\Programación Avanzada\petbook\ejb\pom.xml.
2017-06-20 19:25:26,194 [Worker-21] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Mascotas:Mascotas:0.0.1-SNAPSHOT @ D:\UTN\Electivas\Programación Avanzada\petbook\ejb\pom.xml.
2017-06-20 19:25:30,257 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-20 19:25:30,311 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2017-06-20 19:25:30,342 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-20 19:25:30,362 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\UTN\Electivas\Programación Avanzada\petbook\ejb\src\test\resources
2017-06-20 19:25:32,733 [Worker-24] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Mascotas:Mascotas:0.0.1-SNAPSHOT @ D:\UTN\Electivas\Programación Avanzada\petbook\ejb\pom.xml.
2017-06-20 19:25:39,905 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-20 19:25:39,934 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2017-06-20 19:25:39,954 [Worker-27] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-20 19:25:39,973 [Worker-27] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\UTN\Electivas\Programación Avanzada\petbook\ejb\src\test\resources
2017-06-20 19:26:37,292 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-20 19:26:37,314 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-20 19:26:37,315 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-20 19:26:37,331 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\UTN\Electivas\Programación Avanzada\petbook\ejb\src\test\resources
2017-06-20 19:26:38,546 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-20 19:26:38,566 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-20 19:26:38,567 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-20 19:26:38,620 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\UTN\Electivas\Programación Avanzada\petbook\ejb\src\test\resources
2017-06-20 19:26:42,254 [Worker-26] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Mascotas:Mascotas:0.0.1-SNAPSHOT @ D:\UTN\Electivas\Programación Avanzada\petbook\ejb\pom.xml.
2017-06-20 19:26:43,031 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-20 19:26:43,048 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2017-06-20 19:26:43,058 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-20 19:26:43,069 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\UTN\Electivas\Programación Avanzada\petbook\ejb\src\test\resources
2017-06-20 19:26:43,070 [Worker-26] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of ejb
2017-06-20 19:26:43,071 [Worker-26] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for ejb
2017-06-20 19:26:43,076 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for org.apache.maven.plugins:maven-clean-plugin:jar:2.5 is missing, no dependency information available
2017-06-20 19:26:43,104 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-20 19:26:44,266 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-20 19:26:44,276 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-20 19:26:44,278 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-20 19:26:44,288 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\UTN\Electivas\Programación Avanzada\petbook\ejb\src\test\resources
2017-06-20 19:27:30,844 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-20 19:27:30,860 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2017-06-20 19:27:30,877 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-20 19:27:30,885 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\UTN\Electivas\Programación Avanzada\petbook\ejb\src\test\resources
2017-06-20 19:31:11,615 [Worker-23] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Mascotas:Mascotas:0.0.1-SNAPSHOT @ D:\UTN\Electivas\Programación Avanzada\petbook\ejb\pom.xml.
2017-06-20 19:31:12,456 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-20 19:31:12,477 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-20 19:31:12,480 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-20 19:31:12,499 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\UTN\Electivas\Programación Avanzada\petbook\ejb\src\test\resources
2017-06-20 19:31:12,528 [Worker-20] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-06-20 19:31:13,028 [Worker-20] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Mascotas:Mascotas:0.0.1-SNAPSHOT @ D:\UTN\Electivas\Programación Avanzada\petbook\ejb\pom.xml.
2017-06-20 19:31:13,751 [Worker-20] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ejb/src
2017-06-20 19:31:13,752 [Worker-20] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /ejb/src overlaps with sources folder /ejb/src
2017-06-20 19:31:13,753 [Worker-20] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /ejb/src/test/java because it overlaps with /ejb/src
2017-06-20 19:31:14,245 [Worker-20] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for ejb
2017-06-20 19:31:14,251 [Worker-20] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2017-06-20 19:31:15,972 [Worker-27] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-06-20 19:31:16,415 [Worker-27] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Mascotas:Mascotas:0.0.1-SNAPSHOT @ D:\UTN\Electivas\Programación Avanzada\petbook\ejb\pom.xml.
2017-06-20 19:31:17,368 [Worker-27] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /ejb/src
2017-06-20 19:31:17,369 [Worker-27] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /ejb/src overlaps with sources folder /ejb/src
2017-06-20 19:31:17,370 [Worker-27] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /ejb/src/test/java because it overlaps with /ejb/src
2017-06-20 19:31:17,765 [Worker-27] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for ejb
2017-06-20 19:31:17,770 [Worker-27] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2017-06-20 19:31:19,431 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-20 19:31:19,452 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2017-06-20 19:31:19,468 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-20 19:31:19,488 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\UTN\Electivas\Programación Avanzada\petbook\ejb\src\test\resources
2017-06-20 19:31:19,488 [Worker-5] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of ejb
2017-06-20 19:31:19,488 [Worker-5] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for ejb
2017-06-20 19:31:19,493 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-20 19:31:48,172 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-20 19:31:48,192 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-20 19:31:48,194 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-20 19:31:48,203 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\UTN\Electivas\Programación Avanzada\petbook\ejb\src\test\resources
2017-06-20 19:31:51,208 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Mascotas:Mascotas:0.0.1-SNAPSHOT @ D:\UTN\Electivas\Programación Avanzada\petbook\ejb\pom.xml.
2017-06-20 19:31:52,146 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-20 19:31:52,169 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2017-06-20 19:31:52,178 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-20 19:31:52,190 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\UTN\Electivas\Programación Avanzada\petbook\ejb\src\test\resources
2017-06-20 19:31:52,190 [Worker-5] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of ejb
2017-06-20 19:31:52,190 [Worker-5] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for ejb
2017-06-20 19:31:52,195 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-20 19:37:33,799 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-20 19:37:33,860 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-20 19:37:33,864 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-20 19:37:33,875 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\UTN\Electivas\Programación Avanzada\petbook\ejb\src\test\resources
2017-06-20 19:38:40,310 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-20 19:38:40,327 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2017-06-20 19:38:40,333 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-20 19:38:40,341 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\UTN\Electivas\Programación Avanzada\petbook\ejb\src\test\resources
2017-06-20 19:38:49,430 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-20 19:38:49,443 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
